runtime,C,gamma
1.9,1000,10000000
1.9,1000,10000000
4.1,1000,1000000
4.6,1000,1000000
101.6,1000,10000
103.2,1000,10000
41.2,1000,100000
45.3,1000,100000
116.1,1000,1000
128.4,1000,1000
2,10000,10000000
2,10000,10000000
8.3,10000,1000000
9.3,10000,1000000
174.4,10000,10000
178.6,10000,10000
92.4,10000,100000
95.3,10000,100000
160,10000,1000
160.8,10000,1000
2,100000,10000000
2,100000,10000000
168.2,100000,100000
175.6,100000,100000
18.5,100000,1000000
21.7,100000,1000000
256.7,100000,10000
264.7,100000,10000
190.5,100000,1000
193.6,100000,1000
226.3,1000000,100000
349.1,1000000,10000
359.7,1000000,10000
257.8,1000000,1000
264,1000000,1000
231.6,1000000,100000
31.2,1000000,1000000
31,1000000,1000000
2.1,1000000,10000000
2,1000000,10000000
313.9,10000000,1000
299.5,10000000,1000
378.6,10000000,10000
370.3,10000000,10000
250.2,10000000,100000
221.4,10000000,100000
44.8,10000000,1000000
57.3,10000000,1000000
2,10000000,10000000
1,10000000,10000000
